# Time	field	min	position(min)	max	position(max)
1001	Ua	0	(0 0.0093083 0)	0.063451	(0.0993241 0.0186384 -5.55433e-20)
1002	Ua	0	(0 0.0093083 0)	0.0865463	(0.0993241 0.0186384 -5.55433e-20)
1003	Ua	0	(0 0.0093083 0)	0.120233	(0.0979757 0.0187071 1.89038e-20)
1004	Ua	0	(0 0.0093083 0)	0.164768	(0.0979757 0.0187071 1.89038e-20)
1005	Ua	0	(0 0.0093083 0)	0.215848	(0.0966354 0.0188097 -3.73012e-20)
1006	Ua	0	(0 0.0093083 0)	0.256826	(0.0966354 0.0188097 -3.73012e-20)
1007	Ua	0	(0 0.0093083 0)	0.285019	(0.0966354 0.0188097 -3.73012e-20)
1008	Ua	0	(0 0.0093083 0)	0.304702	(0.0966354 0.0188097 -3.73012e-20)
1009	Ua	0	(0 0.0093083 0)	0.318887	(0.0966354 0.0188097 -3.73012e-20)
1010	Ua	0	(0 0.0093083 0)	0.329936	(0.0966354 0.0188097 -3.73012e-20)
1011	Ua	0	(0 0.0093083 0)	0.339108	(0.0966354 0.0188097 -3.73012e-20)
1012	Ua	0	(0 0.0093083 0)	0.346721	(0.0966354 0.0188097 -3.73012e-20)
1013	Ua	0	(0 0.0093083 0)	0.353021	(0.0966354 0.0188097 -3.73012e-20)
1014	Ua	0	(0 0.0093083 0)	0.358174	(0.0966354 0.0188097 -3.73012e-20)
1015	Ua	0	(0 0.0093083 0)	0.362474	(0.0966354 0.0188097 -3.73012e-20)
1016	Ua	0	(0 0.0093083 0)	0.366173	(0.0966354 0.0188097 -3.73012e-20)
1017	Ua	0	(0 0.0093083 0)	0.369412	(0.0966354 0.0188097 -3.73012e-20)
1018	Ua	0	(0 0.0093083 0)	0.372225	(0.0966354 0.0188097 -3.73012e-20)
1019	Ua	0	(0 0.0093083 0)	0.374636	(0.0966354 0.0188097 -3.73012e-20)
1020	Ua	0	(0 0.0093083 0)	0.37671	(0.0966354 0.0188097 -3.73012e-20)
1021	Ua	0	(0 0.0093083 0)	0.382069	(0.0761667 0.0135295 0)
1022	Ua	0	(0 0.0093083 0)	0.389793	(0.0761667 0.0135295 0)
1023	Ua	0	(0 0.0093083 0)	0.396545	(0.0761667 0.0135295 0)
1024	Ua	0	(0 0.0093083 0)	0.402435	(0.0761667 0.0135295 0)
1025	Ua	0	(0 0.0093083 0)	0.407579	(0.0761667 0.0135295 0)
1026	Ua	0	(0 0.0093083 0)	0.412083	(0.0761667 0.0135295 0)
1027	Ua	0	(0 0.0093083 0)	0.416028	(0.0761667 0.0135295 0)
1028	Ua	0	(0 0.0093083 0)	0.419479	(0.0761667 0.0135295 0)
