# Time	field	min	position(min)	max	position(max)
1001	Ua	0	(0 0.0093083 0)	0.101414	(0.3 0.0186166 0)
1002	Ua	0	(0 0.0093083 0)	0.100996	(0.3 0.0186166 0)
1003	Ua	0	(0 0.0093083 0)	0.100887	(0.3 0.0186166 0)
1004	Ua	0	(0 0.0093083 0)	0.101249	(0.3 0.0186166 0)
1005	Ua	0	(0 0.0093083 0)	0.102103	(0.3 0.0186166 0)
1006	Ua	0	(0 0.0093083 0)	0.106529	(0.3 -0.0193083 0)
1007	Ua	0	(0 0.0093083 0)	0.122692	(0.3 -0.0193083 0)
1008	Ua	0	(0 0.0093083 0)	0.139321	(0.3 -0.0193083 0)
1009	Ua	0	(0 0.0093083 0)	0.155933	(0.3 -0.0193083 0)
1010	Ua	0	(0 0.0093083 0)	0.172159	(0.3 -0.0193083 0)
1011	Ua	0	(0 0.0093083 0)	0.187699	(0.3 -0.0193083 0)
1012	Ua	0	(0 0.0093083 0)	0.20306	(0.299339 -0.0192878 0)
1013	Ua	0	(0 0.0093083 0)	0.221529	(0.299339 -0.0192878 0)
1014	Ua	0	(0 0.0093083 0)	0.238931	(0.299339 -0.0192878 0)
1015	Ua	0	(0 0.0093083 0)	0.257025	(0.298018 -0.0192468 -2.00603e-20)
1016	Ua	0	(0 0.0093083 0)	0.276332	(0.298018 -0.0192468 -2.00603e-20)
1017	Ua	0	(0 0.0093083 0)	0.294271	(0.298018 -0.0192468 -2.00603e-20)
1018	Ua	0	(0 0.0093083 0)	0.310656	(0.298018 -0.0192468 -2.00603e-20)
1019	Ua	0	(0 0.0093083 0)	0.325361	(0.298018 -0.0192468 -2.00603e-20)
1020	Ua	0	(0 0.0093083 0)	0.338312	(0.298018 -0.0192468 -2.00603e-20)
1021	Ua	0	(0 0.0093083 0)	0.34948	(0.298018 -0.0192468 -2.00603e-20)
1022	Ua	0	(0 0.0093083 0)	0.358875	(0.298018 -0.0192468 -2.00603e-20)
1023	Ua	0	(0 0.0093083 0)	0.36926	(0.2967 -0.0192059 9.33868e-21)
1024	Ua	0	(0 0.0093083 0)	0.380339	(0.2967 -0.0192059 9.33868e-21)
1025	Ua	0	(0 0.0093083 0)	0.389786	(0.2967 -0.0192059 9.33868e-21)
1026	Ua	0	(0 0.0093083 0)	0.397624	(0.2967 -0.0192059 9.33868e-21)
1027	Ua	0	(0 0.0093083 0)	0.403896	(0.2967 -0.0192059 9.33868e-21)
1028	Ua	0	(0 0.0093083 0)	0.409668	(0.295384 -0.0191653 0)
1029	Ua	0	(0 0.0093083 0)	0.418223	(0.295384 -0.0191653 0)
1030	Ua	0	(0 0.0093083 0)	0.425253	(0.295384 -0.0191653 0)
1031	Ua	0	(0 0.0093083 0)	0.430804	(0.295384 -0.0191653 0)
1032	Ua	0	(0 0.0093083 0)	0.434947	(0.295384 -0.0191653 0)
1033	Ua	0	(0 0.0093083 0)	0.438864	(0.294071 -0.0191248 2.98997e-20)
1034	Ua	0	(0 0.0093083 0)	0.444777	(0.294071 -0.0191248 2.98997e-20)
1035	Ua	0	(0 0.0093083 0)	0.449322	(0.294071 -0.0191248 2.98997e-20)
1036	Ua	0	(0 0.0093083 0)	0.452595	(0.294071 -0.0191248 2.98997e-20)
1037	Ua	0	(0 0.0093083 0)	0.454706	(0.294071 -0.0191248 2.98997e-20)
1038	Ua	0	(0 0.0093083 0)	0.455778	(0.294071 -0.0191248 2.98997e-20)
1039	Ua	0	(0 0.0093083 0)	0.458829	(0.29276 -0.0190844 0)
1040	Ua	0	(0 0.0093083 0)	0.461587	(0.29276 -0.0190844 0)
1041	Ua	0	(0 0.0093083 0)	0.463393	(0.29276 -0.0190844 0)
1042	Ua	0	(0 0.0093083 0)	0.464348	(0.29276 -0.0190844 0)
1043	Ua	0	(0 0.0093083 0)	0.464558	(0.29276 -0.0190844 0)
1044	Ua	0	(0 0.0093083 0)	0.465986	(0.291452 -0.0190442 9.5979e-21)
1045	Ua	0	(0 0.0093083 0)	0.467825	(0.291452 -0.0190442 9.5979e-21)
1046	Ua	0	(0 0.0093083 0)	0.468923	(0.291452 -0.0190442 9.5979e-21)
1047	Ua	0	(0 0.0093083 0)	0.469366	(0.291452 -0.0190442 9.5979e-21)
1048	Ua	0	(0 0.0093083 0)	0.46924	(0.291452 -0.0190442 9.5979e-21)
1049	Ua	0	(0 0.0093083 0)	0.46934	(0.290146 -0.0190041 0)
1050	Ua	0	(0 0.0093083 0)	0.470508	(0.290146 -0.0190041 0)
1051	Ua	0	(0 0.0093083 0)	0.471102	(0.290146 -0.0190041 0)
1052	Ua	0	(0 0.0093083 0)	0.471199	(0.290146 -0.0190041 0)
1053	Ua	0	(0 0.0093083 0)	0.470877	(0.290146 -0.0190041 0)
