# Time	field	min	position(min)	max	position(max)
1001	Ua	0	(0.0101886 0.0130353 0)	10	(0.01 0.01291 0)
1002	Ua	0	(0.0101886 0.0130353 0)	17.5103	(0.0462708 0.0148705 9.11205e-21)
1003	Ua	0	(0.0101886 0.0130353 0)	31.5119	(0.0213237 0.0142838 1.35065e-20)
1004	Ua	0	(0.0101886 0.0130353 0)	46.0263	(0.0209066 0.0142559 6.43758e-20)
1005	Ua	0	(0.0101886 0.0130353 0)	59.1218	(0.0204835 0.0142261 0)
1006	Ua	0	(0.0101886 0.0130353 0)	69.5864	(0.0200559 0.0141946 0)
1007	Ua	0	(0.0101886 0.0130353 0)	76.7369	(0.0196254 0.0141614 3.77229e-20)
1008	Ua	0	(0.0101886 0.0130353 0)	80.3199	(0.0196254 0.0141614 3.77229e-20)
1009	Ua	0	(0.0101886 0.0130353 0)	80.461	(0.0191933 0.0141269 6.31499e-20)
1010	Ua	0	(0.0101886 0.0130353 0)	77.5054	(0.0187613 0.0140911 3.86385e-20)
1011	Ua	0	(0.0101886 0.0130353 0)	72.0802	(0.0183306 0.0140543 0)
1012	Ua	0	(0.0101886 0.0130353 0)	65.1485	(0.0183306 0.0140543 0)
1013	Ua	0	(0.0101886 0.0130353 0)	57.743	(0.017903 0.0140167 2.59721e-20)
1014	Ua	0	(0.0101886 0.0130353 0)	51.0918	(0.0174797 0.0139783 0)
1015	Ua	0	(0.0101886 0.0130353 0)	48.5678	(0.0498085 0.0148949 -2.71874e-20)
1016	Ua	0	(0.0101886 0.0130353 0)	48.969	(0.0498085 0.0148949 -2.71874e-20)
1017	Ua	0	(0.0101886 0.0130353 0)	49.3176	(0.0498085 0.0148949 -2.71874e-20)
1018	Ua	0	(0.0101886 0.0130353 0)	49.6083	(0.0498085 0.0148949 -2.71874e-20)
1019	Ua	0	(0.0101886 0.0130353 0)	49.9343	(0.0136505 0.0135754 3.13059e-20)
1020	Ua	0	(0.0101886 0.0130353 0)	53.0055	(0.0136505 0.0135754 3.13059e-20)
1021	Ua	0	(0.0101886 0.0130353 0)	55.3389	(0.0136505 0.0135754 3.13059e-20)
1022	Ua	0	(0.0101886 0.0130353 0)	56.6469	(0.0136505 0.0135754 3.13059e-20)
1023	Ua	0	(0.0101886 0.0130353 0)	56.8422	(0.0136505 0.0135754 3.13059e-20)
1024	Ua	0	(0.0101886 0.0130353 0)	56.0169	(0.0136505 0.0135754 3.13059e-20)
1025	Ua	0	(0.0101886 0.0130353 0)	54.4119	(0.0136505 0.0135754 3.13059e-20)
1026	Ua	0	(0.0101886 0.0130353 0)	52.3677	(0.0136505 0.0135754 3.13059e-20)
1027	Ua	0	(0.0101886 0.0130353 0)	51.6788	(0.0498085 0.0148949 -2.71874e-20)
1028	Ua	0	(0.0101886 0.0130353 0)	51.9528	(0.0498085 0.0148949 -2.71874e-20)
1029	Ua	0	(0.0101886 0.0130353 0)	52.205	(0.0498085 0.0148949 -2.71874e-20)
1030	Ua	0	(0.0101886 0.0130353 0)	52.4305	(0.0498085 0.0148949 -2.71874e-20)
